topic,post,context
316663,28,"薄膜就罗技 k580，mx keys mini,机械 keychron 最适配 Mac，有好几把都可以选，可以挑一挑"
316911,49,去年水过了，感觉可以在此基础上改一版
197546,1419,小case，藤椒老师在楼发言约等于后五个人的和
316663,21,"之前选显示器的时候搜过相关内容，应该和 macOS 的渲染方式有关（如有不对请指出,）,macOS 对位图资源有,和,两个版本，会根据 UI 分辨率选择调用。假设有一块物理 4k 的显示器,渲染 4k 的 UI （即 100% 缩放），这个最简单，就直接点对点渲染,渲染 1080p 的 UI （200% 缩放），这个时候 macOS 会开启 HiDPI 模式，即调用,的资源，以 UI 分辨率的两倍渲染画面（也就是 4k），从而达到提高精细度的效果，这个时候检查系统信息就会发现 macOS 渲染像素量是 4k，然后点对点输出到显示器上,对于非 200% 缩放（例如 2k），macOS 为了提高精细度，会渲染 UI 分辨率两倍的像素数（2k 的两倍就是 5k），然后重新降采样回 4k 的物理像素数。这个时候在系统信息里也可以看到 macOS 的确渲染了 5k 的像素,改成其他奇怪的分辨率比例也可以发现，macOS 会渲染两倍的像素量,所以 Mac 非常挑显示器，因为非 200% 缩放必然有性能损失"
312310,1759,"这是什么全新电脑,红温了，xcode 吃了26G,数据文件全丢硬盘里了，256G真不够用，但考虑到Mac的黄金售价，宁愿买硬盘也不加 NAND,抓一下应用列表"
312310,1751,M3 改进了工艺，没那么沾，老款非常粘指纹
262733,3446,藤椒老师发发
316618,440,快进到京东老用户已经成为京东发展的最大阻碍
316721,23,"藤椒老师是超体,I am everywhere!"
197546,1408,"日常用不可能烧屏吧,家里我妈的旧 6s，天天充着电亮屏放桌面，也只烧了一点dock"
312310,1718,天天背书包是这样的，装一个小pd头充全家
312310,1713,"Mac 一年循环了 151 次,手机五个月166次，还剩 102%"
312310,1704,"我都放胸前的口袋，只要弯腰的时候别忘了就行,不过现在改骑电车了放车筐里,上次脱手就是进门扫码，往兜里揣的时候滑手了"
316707,4,这一二线是分不清大小王了，不会是小牛炸街的精神小伙编的吧
312310,1688,"感觉 Safari 除了原生全是缺点，为什么添加桌面书签不能调用脚本,，以及 macOS 15 的 Safari bug 一堆,新出的翻译功能不能显示原文，需要重新打开一下网页才能显示翻译按钮,奇怪的padding消失术,总结,已经拉到最顶上了"
312310,1687,iAndroid vs oPhone
316648,48,"盒到了记得,我"
316144,136,这是一个梗
262733,3424,快来看
312310,1673,"应该不会这么抽象……吧,M4 MBP 不就那一个丐中丐版，要发 Pro 怎么会不发 M4 Pro/Max"
316532,13,萱萱，______________!
316459,91,"C口充电器肯定大部分支持，最多就是阉割功率，PD 协议规范本来就要求双C,A口充电器除了小米那个基本没有，包括绿联安克品胜这些都是只有C口能PD"
315266,6912,"meow(tmg.ver),举办了,，偷偷拿我水源发消息"
316459,85,这就是那个极少数的例外，什么才叫苹果最好的配件厂（雾
316144,104,"那我这种朋友圈里没女生的算什么,，感觉自己抽象属性过强了以至于掩盖了男同属性"
312310,1660,"去碰碰运气再说，这个 bar 应该也没那么严格，我上一副耳机免费换了两三次,直接换也可以，2代降噪提升挺明显的，还有新功能（滑动耳机调音量挺好用的真的）"
312310,1656,"还真不是，AirPods Pro 1 代有设计缺陷，当时也发布了官方召回计划,可以去官方保修，大概率能换副新的,AirPods Pro 2 代没这个问题，重新设计了麦的位置"
312310,1653,"约等于没提升吧,性能：小手表要啥性能，再说芯片本来也是挤牙膏,外观：去线下店看过，除非俩放一块，基本是看不出来的；反而因为体积变大反而显得黑边更粗了,续航：万年不变的 18h,充电：大阉割，AW 最痛的地方，除非外版不然一概不推荐,屏幕：侧视亮度提高，但需要这点亮度基本就是手在桌面上的时候，我还有手机、电脑等设备可以看消息、时间，不是非得用手表；出门走路反正都得抬腕亮屏也不需要侧视"
316459,67,"安卓厂商为了把充电功率做大魔改了很多 Type-C 接口，例如华为的 A2C 数据线就是自己魔改的，不支持 PD 充电；而 iPhone 采用标准 PD 充电协议，标准 PD 协议仅支持 C2C 线，和这些魔改的数据线没法握手所以充不上，大部分 C2C 的数据线还是能充的，,甚至能用 C140 充手机,如果以前用 iPad 就会发现有些 A2C 的线是没法充电的，同一个原理,属于是倒反天罡了，是安卓厂商为了魔改充电器主动阉割了 PD"
