Keyword,Frequency
感觉,17.881127663328805
nsfw,16.799267075055056
水源,15.242365821597582
好好,12.94722365686597
lz,11.949462929146929
真的,10.66463672641528
原神,10.132363853343737
ipad,10.022813776492722
pro,9.831051114116029
老师,9.62754751440566
cy,9.27574763680627
手机,8.96549825288004
这下,8.773969862449643
好像,8.512348606410482
发现,8.364229676191332
苹果,8.16541105611262
启动,7.574855401050067
iphone,7.44603918815278
记得,7.125531997591773
更新,7.115823533506035
两个,6.912208936307718
摘要,6.840706127247864
交大,6.8404082430945685
居然,6.820396150732953
一点,6.80095061191531
有没有,6.6475614534025365
小学生,6.525229952929803
这是,6.449309716476668
mac,6.429226680715691
版本,6.35197688647528
jpg,6.202544371564821
时间,6.201632527044479
不好,6.136719411295576
还要,6.11537575161798
建议,5.968451146632773
同学,5.9564295996579
id,5.794537876070645
apple,5.717727538592508
世界,5.608430841189232
三个,5.4871201955654385
表情,5.41930074737504
喜欢,5.393949543160337
支持,5.386185771920166
预约,5.370669432283651
mhy,5.330158368073841
电脑,5.141725768706793
不用,5.11202304113616
宿舍,5.053185761258958
air,5.043924282496174
每次,4.973017880951545
感谢,4.939030941738939
本来,4.886227929446759
不想,4.852621940498954
进来,4.7758285994429235
有人,4.70878849537281
学习,4.681717506622712
爱莉,4.645673352925412
功能,4.615987677663044
外卖,4.614956473950015
不了,4.609188799393221
打开,4.572557529218541
一眼,4.52825071055439
数院,4.523126760836428
app,4.491271877962013
晚上,4.485524100059459
只能,4.440155968368507
终于,4.415639445026797
屏幕,4.405781283457789
藤椒,4.3619058658640055
包图,4.355464301925981
致敬,4.296737749015373
谢谢,4.26292978604404
反正,4.164035260977616
狠狠,4.100115504829519
一年,4.0710860990404605
bug,4.02681898077258
去年,3.955636594843736
散热,3.9314844345727287
肯定,3.9201725326356507
15,3.9144523333274512
朋友,3.909186917322727
确实,3.8299170882817504
深渊,3.8026850949758706
airpods,3.798241298331758
蜘蛛,3.791243965641648
一集,3.7865336077173826
主图,3.7597211753382087
大学,3.75270003704197
源友,3.750736332265626
12,3.740712122446867
爱门,3.7310801144770487
大概,3.6973921782544403
chatgpt,3.6729963597947677
16,3.6711559335825976
盲猜,3.655957958629788
门口,3.6486397844615848
系统,3.626849527433305
明天,3.6223279788539235
游戏,3.6133673481631488
价格,3.610668132612635
我要,3.5790689839953505
ai,3.5710785945861487
崩坏,3.5701879107817796
下午,3.493931780954958
回来,3.4864169939441285
11,3.455122857979144
椅子,3.4444786009399904
希雅,3.4395726587254303
黄泉,3.4123998187173985
视频,3.399628268178925
生日,3.3837382638504065
上次,3.378498586501329
排除,3.3784277135109058
理由,3.3771065298745553
图书馆,3.375514463355251
看起来,3.360651377174153
生日快乐,3.3476898653674994
高中,3.3243432795721493
学院,3.3231585710129146
模式,3.2950132668213117
ac,3.2806236808372455
希儿,3.266249881496972
上海,3.262857974036624
18,3.257991933728561
好多,3.228826618224726
开盒,3.227057380522485
想要,3.208884582685172
21,3.2025059668120464
学校,3.1666589746771305
东西,3.155597506794263
macbook,3.1470087401411786
位置,3.1125320393565654
即答,3.0971596947602027
设置,3.081129487357975
屏蔽,3.072413733848049
引用,3.0721181812889364
旅行者,3.0328884933015403
抽象,3.02852802996049
永远,3.026628418877985
端上来,3.024083043386803
收敛,3.0095588157464515
睡觉,3.006286448345822
山东人,3.0
操作,2.995519249134649
名字,2.9870589759975603
联想,2.9843661760312603
别人,2.972067320688591
链接,2.9635156359076134
学生,2.958913577334401
姬子,2.9554993929002045
ios,2.941577050886329
标题,2.9386654357835935
提要,2.9244818242165276
信号,2.9214007708855636
铁道,2.9181655965239477
有无,2.9050672656286776
华为,2.9035634572264253
也许,2.880981916443857
学期,2.8808624878552913
充电,2.875306126502822
经典,2.8713776573160343
快乐,2.867124907650316
上线,2.8601251716306164
emoji,2.855951657997995
显示,2.8528889698903748
蛋糕,2.8313475415352105
中国,2.826302083892327
超超,2.8116970644910064
从来,2.8116843131327274
答案,2.8097183328734148
来自,2.808149175489776
14,2.7804695425318005
起床,2.7780686804408754
平板,2.7690534133852336
毕竟,2.7683883793453363
拿下,2.755959269003604
找到,2.7519717239607693
注册,2.7477156363149193
几天,2.74756441781399
几个,2.7414233243586086
20,2.739793358979703
生存,2.735840894922904
极限,2.7355775365323782
宵宫,2.73433164979227
期待,2.7173002646310134
样子,2.705630372456516
全局,2.694912191787833
来看,2.68804819819554
思源,2.683306277106605
解决,2.68217312765577
情况,2.6768899953469134
枪毙,2.6676809239679375
疯狂,2.661217677614914
健康,2.65783712728315
10,2.651447153695977
军训,2.6505218461904128
放在,2.6481845992409525
小心,2.6182997433921953
a17,2.6113777550270307
天才,2.6050071123409184
美区,2.6037840599690245
礼品,2.601922210770099
提前,2.599249286375385
差点,2.5799370986500807
哪来,2.575844726154684
进到,2.565623171606073
p2,2.5627505622406335
键盘,2.559131825647923
参考,2.5579880101295274
历史,2.5575218171497336
校医院,2.556480639828922
sir,2.542508454638919
到底,2.535616870351649
符玄,2.53350220243994
三件套,2.5256927075392746
昨天,2.524025869891468
生活,2.5223467828681723
未来,2.5156214534974617
印象,2.50843904945123
tag,2.504553096201583
